id,product_id,product_name,current_purchase_price,current_sale_price,requested_purchase_price,requested_sale_price,reason,status,requested_by,requested_by_name,reviewed_by,reviewed_by_name,reviewed_at,review_notes,created_at,updated_at
7019a436-7fe4-4f03-b8db-5665df58f806,07a0a801-1a80-4505-9e73-bf513e54c9f6,popcorn caramel,80.0,120.0,100,150,,approved,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:03.88035+00:00,,2026-08-09T11:44:00.934165+00:00,2026-08-09T12:59:03.88035+00:00
33c27c9f-aa07-4335-ac9f-7e433d2fe80e,aa97af7c-004a-4d47-9db3-a3ba00ee7511,SATEENSOFT TISSUE,150.0,175.0,150,250,,approved,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,4222e356-1c98-4f01-b444-749d0370c257,Junaid Abbasi,2026-08-14T12:25:03.297322+00:00,,2026-08-10T09:47:17.468721+00:00,2026-08-14T12:25:03.297322+00:00
9b62300b-13ef-4ac0-98c3-e86e7457596c,e013e4aa-25b4-476d-982d-2840bb72e016,G Break Fluid S,190.0,300.0,210,350,,approved,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,4222e356-1c98-4f01-b444-749d0370c257,Junaid Abbasi,2026-08-14T12:25:01.516106+00:00,,2026-08-14T12:16:27.63578+00:00,2026-08-14T12:25:01.516106+00:00
9566feb9-3c6a-4b41-81d5-ed45639c7a54,34fcbdaa-61f9-43a9-bf4e-af3a98e0db39,G Break Fluid L,600.0,750.0,310,550,,approved,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,4222e356-1c98-4f01-b444-749d0370c257,Junaid Abbasi,2026-08-14T12:24:59.631347+00:00,,2026-08-14T12:19:08.357822+00:00,2026-08-14T12:24:59.631347+00:00
3bfb6aa4-0a10-4431-a704-fc0247172e5d,455aa6fb-926c-495f-9f2c-7a6b1b34e627,Cosmic Polish,1250.0,1750.0,1180,1650,,approved,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,4222e356-1c98-4f01-b444-749d0370c257,Junaid Abbasi,2026-08-14T12:24:57.196847+00:00,,2026-08-14T12:21:00.400273+00:00,2026-08-14T12:24:57.196847+00:00
18123bdb-81dd-4529-adc4-9d0a593b7b7f,66cc367a-8cda-4e43-b94b-92874aacfd3a,Nesfruta apple,53.41,70.0,53.41,90,,approved,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,4222e356-1c98-4f01-b444-749d0370c257,Junaid Abbasi,2026-08-19T12:55:44.981236+00:00,,2026-08-18T05:53:46.883457+00:00,2026-08-19T12:55:44.981236+00:00
395a188a-7d4d-49f9-9ac0-2509c0dfcafd,2b8b66f9-ccbd-47b0-9153-dac56d965f8b,Nesfruta mango,47.1,70.0,47.1,90,,approved,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,4222e356-1c98-4f01-b444-749d0370c257,Junaid Abbasi,2026-08-19T12:55:43.136364+00:00,,2026-08-18T05:54:06.676274+00:00,2026-08-19T12:55:43.136364+00:00
